dist,elev,remarks,x,y
0,96.59,LEP BOP,565108.8051,5404034.228
0,96.83,LEP TOP,,
0.4,96.52,edge veg/bankfull,,
1,95.99,bottom side channel,,
4.3,96.29,,,
5.5,96.28,,,
7.5,96.33,,,
10,96.65,,,
14,96.71,,,
17.7,96.72,,,
23.6,96.69,,,
26.9,96.55,LEW,,
27.8,96.53,,,
28.8,96.51,,,
29.8,96.48,,,
30.8,96.45,,,
31.8,96.39,,,
32.8,96.35,,,
33.8,96.31,,,
34.8,96.16,,,
35.8,96.16,,,
36.8,96.11,,,
37.8,96.11,,,
38.8,96.08,,,
39.8,96.08,,,
40.8,96.03,,,
41.8,95.96,,,
42.8,95.83,,,
43.8,95.93,,,
44.8,95.76,,,
45.8,95.74,,,
46.8,95.73,,,
47.8,95.85,,,
48.8,95.84,,,
49.8,96.02,,,
50.8,96.24,,,
51.3,96.55,REW,,
51.9,97.78,TRB,,
53.1,97.88,REP BOP XS30,565152.5452,5404061.689
53.1,98.05,REP TOP XS30,,
