dist,elev,remarks,x,y
0,97.55,edge of active FP,,
7.7,97.26,LEP BOP,565117.6187,5404017.211
7.7,97.55,LEP TOP,,
10,97.2,top side channel/edge of veg,,
11.9,96.59,bottom side channel,,
12.7,96.66,,,
14.7,96.78,,,
19.5,96.75,,,
20.8,96.95,,,
23.7,96.79,,,
27.3,96.82,,,
29.4,96.71,,,
32.1,96.69,LEW,,
33,96.65,,,
34,96.59,,,
35,96.54,,,
36,96.51,,,
37,96.48,,,
38,96.45,,,
39,96.39,,,
40,96.37,,,
41,96.31,,,
42,96.25,,,
43,96.18,,,
44,96.15,,,
45,96.15,,,
46,96.12,,,
47,96.05,,,
48,96.01,,,
49,95.98,,,
50,95.87,,,
51,95.91,,,
52,95.75,,,
53,95.87,,,
54,95.84,,,
55,95.99,,,
56,96.09,,,
56.9,96.65,REW,,
57.4,96.75,,,
57.8,97.95,,,
58.1,98.04,REP BOP XS30,565162.7638,5404038.66
58.1,98.21,REP TOP XS30,,
