dist,elev,remarks,x,y
0,99.17,MP TOP,565122.8301,5403939.968
3.2,98.88,,,
6.2,98.96,,,
9.2,98.8,,,
12.2,98.71,,,
15.2,98.4,Woody debris,,
17.3,98.6,,,
20.1,98.52,,,
26,98.28,,,
28.4,97.95,LEW,,
29.2,97.79,,,
30.2,97.74,,,
31.2,97.69,,,
32.2,97.66,,,
33.2,97.69,,,
34.2,97.48,,,
35.2,97.29,,,
36.2,97.22,,,
37.2,97.2,,,
38.2,97.11,,,
39.2,97.2,,,
40.2,97.17,,,
41.2,97.15,,,
42.2,97.16,,,
43.2,97.11,,,
44.2,97.2,,,
45.2,97.41,,,
46.2,97.45,,,
47.2,97.52,,,
48.2,97.75,,,
49.2,97.8,,,
50.2,97.91,,,
50.4,97.94,REW,,
51.9,97.99,,,
53.3,97.95,,,
55.6,97.82,,,
60,97.85,RE slight water,,
61.4,97.95,Bottom of cut bank,,
63.1,98.55,,,
63.8,99.45,REP BOP XS26,565180.5264,5403913.476
63.8,99.61,REP TOP XS26,,
